fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
Kepler-399,Kepler-399 c,0,2014,26.67569,0.000171,-0.000171,0,0.155,,,0,,,,,2.63,,,0,M-R relationship,1.43,0.77,-0.77,0,4.94,,,0,19h58m00.42s,299.501738,+40d40m14.9s,40.670806,699,137.7,-81.13,0,5502,200,-200,0,4.62,0.3,-0.3,0,-0.418,,,0,0.94,0.1,-0.07,0,0.68,0.36,-0.36,0,3.98,4.69,-2.29,0
Kepler-399,Kepler-399 d,0,2014,58.034616,0.000363,-0.000363,0,0.261,,,0,,,,,4.23,,,0,M-R relationship,1.89,1.01,-1.01,0,3.44,,,0,19h58m00.42s,299.501738,+40d40m14.9s,40.670806,699,137.7,-81.13,0,5502,200,-200,0,4.62,0.3,-0.3,0,-0.418,,,0,0.94,0.1,-0.07,0,0.68,0.36,-0.36,0,3.98,4.69,-2.29,0
Kepler-4,Kepler-4 b,0,2009,3.21346,0.00022,-0.00022,0,0.0456,0.0009,-0.0009,0,0,,,0,24.472,3.814,-3.814,0,Mass,4.002,0.213,-0.213,0,1.91,0.36,-0.47,0,19h02m27.68s,285.615322,+50d08m08.7s,50.135754,550,80,-80,0,5857,120,-120,0,4.17,0.04,-0.04,0,0.354,0.111,-0.104,0,1.22,0.05,-0.09,0,1.49,0.07,-0.08,0,4.5,1.5,-1.5,0
Kepler-40,Kepler-40 b,0,2010,6.87349,0.00064,-0.00064,0,0.08,0.003,-0.003,0,0,,,0,699.2,127.1,-127.1,0,Mass,13.11,0.45,-0.45,0,1.68,0.53,-0.43,0,19h47m15.29s,296.81369,+47d31m35.8s,47.526608,2700,200,-200,0,6510,100,-100,0,3.94,0.32,-0.32,0,0.831,0.06,-0.069,0,1.48,0.06,-0.06,0,2.13,0.06,-0.06,0,2.8,0.3,-0.3,0
Kepler-400,Kepler-400 b,0,2014,9.024389,0.000034,-0.000034,0,0.087,,,0,,,,,3.36,,,0,M-R relationship,1.65,0.3,-0.3,0,4.11,,,0,19h23m46.68s,290.944481,+40d28m48.1s,40.480035,709,75.95,-54.5,0,5886,100,-100,0,4.35,0.15,-0.15,0,0.152,,,0,1.08,0.04,-0.04,0,1.15,0.21,-0.21,0,3.63,1.58,-1.77,0
Kepler-400,Kepler-400 c,0,2014,17.340824,0.0001,-0.0001,0,0.134,,,0,,,,,2.83,,,0,M-R relationship,1.49,0.28,-0.28,0,4.7,,,0,19h23m46.68s,290.944481,+40d28m48.1s,40.480035,709,75.95,-54.5,0,5886,100,-100,0,4.35,0.15,-0.15,0,0.152,,,0,1.08,0.04,-0.04,0,1.15,0.21,-0.21,0,3.63,1.58,-1.77,0
Kepler-401,Kepler-401 b,0,2014,14.383035,0.000211,-0.000211,0,0.122,,,0,,,,,3.57,,,0,M-R relationship,1.71,0.4,-0.4,0,3.92,,,0,19h20m19.86s,290.082749,+50d51m48.5s,50.863483,739,124.38,-77.89,0,6117,100,-100,0,4.25,0.15,-0.15,0,0.548,0.021,-0.022,0,1.17,0.07,-0.05,0,1.33,0.24,-0.24,0,3.39,0.85,-1.19,0
Kepler-401,Kepler-401 c,0,2014,47.318218,0.000695,-0.000695,0,0.269,,,0,,,,,5.27,,,0,M-R relationship,2.15,0.4,-0.4,0,2.91,,,0,19h20m19.86s,290.082749,+50d51m48.5s,50.863483,739,124.38,-77.89,0,6117,100,-100,0,4.25,0.15,-0.15,0,0.548,0.021,-0.022,0,1.17,0.07,-0.05,0,1.33,0.24,-0.24,0,3.39,0.85,-1.19,0
Kepler-401,Kepler-401 d,0,2016,184.256405,0.00317,-0.00317,0,,,,,,,,,5.77,,,0,M-R relationship,2.27,0.4,-0.26,0,2.71,,,0,19h20m19.86s,290.082749,+50d51m48.5s,50.863483,739,124.38,-77.89,0,6117,100,-100,0,4.25,0.15,-0.15,0,0.548,0.021,-0.022,0,1.17,0.07,-0.05,0,1.33,0.24,-0.24,0,3.39,0.85,-1.19,0
Kepler-402,Kepler-402 b,0,2014,4.028751,0.000019,-0.000019,0,0.051,,,0,,,,,1.98,,,0,M-R relationship,1.22,0.24,-0.24,0,5.99,,,0,19h13m28.85s,288.370225,+43d21m16.6s,43.35461,720,105.35,-69.52,0,6090,120,-120,0,4.28,0.15,-0.15,0,0.195,0.014,-0.015,0,1.15,0.06,-0.05,0,1.26,0.24,-0.24,0,3.31,0.896,-1.31,0
