fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
HD 95089,HD 95089 c,0,2018,464.4,3.8,-3.8,0,1.36,0.13,-0.13,0,0.119,0.072,-0.072,0,400.4658,27.01555,-27.01555,0,Msini,13.7,,,0,0.856,,,0,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,1.95,-1.95,0,4918,,,0,3.24,,,0,1.125,0.007,-0.007,0,1.54,,,0,5.08,,,0,1.85,0.55,-0.55,0
HD 95127,HD 95127 b,0,2015,482,5,-5,0,1.28,0.08,-0.08,0,0.11,0.1,-0.1,0,3378.5329,2561.7098,-2561.7098,0,Msini,12.4,,,0,9.74,,,0,10h59m35.09s,164.896194,+43d48m52.1s,43.814465,332,110,-110,0,4218,30,-30,0,1.78,0.3,-0.3,0,2.559,0.034,-0.036,0,3.7,4.16,-4.16,0,41.01,18.22,-18.22,0,5.5,4.74,-2.54,0
HD 95872,HD 95872 b,0,2015,4375,170,-170,0,5.15,0.16,-0.16,0,0.06,0.04,-0.04,0,1188.6842,295.5819,-295.5819,0,Msini,13,,,0,2.97,,,0,11h03m28.11s,165.867114,-22d05m38.3s,-22.093977,7.56,,,0,5312,100,-100,0,4.43,0.15,-0.15,0,-0.242,0.002,-0.002,0,0.7,0.25,-0.25,0,0.84,0.04,-0.04,0,10,3.7,-3.7,0
HD 96063,HD 96063 b,0,2011,362.5,2.2,-2.2,0,1.11,0.14,-0.14,0,0.17,0.11,-0.11,0,403.6441,85.8141,-85.8141,0,Msini,13.7,,,0,0.863,,,0,11h04m44.45s,166.185226,-02d30m47.6s,-2.513218,140.62,1.33,-1.33,0,5020,,,0,3.33,,,0,1.013,0.005,-0.005,0,1.37,,,0,4.75,,,0,2.92,0.81,-0.81,0
HD 96127,HD 96127 b,0,2011,647.29999,17,-17,0,1.42,0.13,-0.13,0,0.3,0.1,-0.1,0,6661.7168,4128.6117,-4128.6117,0,Msini,12.1,,,0,20.7,,,0,11h05m45.95s,166.441452,+44d18m05.6s,44.301559,597.42,26.09,-26.09,0,3943,23,-23,0,2.06,0.09,-0.09,0,2.863,0.023,-0.025,0,10.94,10.02,-10.02,0,51.1,22.81,-22.81,0,4.067,2.624,-2.624,0
HD 96167,HD 96167 b,0,2009,498.04,0.76,-0.76,0,1.332,0.098,-0.098,0,0.685,0.029,-0.029,0,227.88411,12.7132,-12.7132,0,Msini,14,,,0,0.456,,,0,11h05m15.07s,166.31279,-10d17m28.7s,-10.291301,85.51,0.41,-0.41,0,5733,,,0,3.99,,,0,0.565,0.003,-0.003,0,1.27,,,0,1.94,,,0,4.85,0.63,-0.63,0
HD 97658,HD 97658 b,0,2010,9.4909,0.0016,-0.0016,0,0.0796,0.0011,-0.0011,0,0.06,0.05,-0.05,0,9.5349,0,0,0,Mass,2.354,0.112,-0.112,0,3.9,0.7,-0.61,0,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.58,0.03,-0.03,0,5175,25,-25,0,4.49,0.04,-0.04,0,-0.438,0.001,-0.001,0,0.89,0.15,-0.15,0,0.74,0.01,-0.01,0,6,1,-1,0
HD 98219,HD 98219 b,0,2011,433.8,2,-2,0,1.26,0.12,-0.12,0,0.079,0.04,-0.04,0,624.21812,31.46517,-31.46517,0,Msini,13.4,,,0,1.43,,,0,11h17m47.55s,169.448135,-23d58m31.5s,-23.975414,114.07,0.58,-0.58,0,4925,,,0,3.36,,,0,0.918,0.003,-0.003,0,1.41,,,0,4.6,,,0,2.41,0.69,-0.69,0
HD 98649,HD 98649 b,0,2012,4951,607,-465,0,5.6,0.4,-0.4,0,0.85,0.05,-0.05,0,2161.2,158.9,-158.9,0,Msini,12.7,,,0,5.8,,,0,11h20m51.77s,170.215698,-23d13m02.4s,-23.217342,42.22,0.09,-0.09,0,5759,35,-35,0,4.38,0.08,-0.08,0,-0.066,,,0,1,0.03,-0.03,0,1,,,0,2.3,2,-2,0
HD 98736,HD 98736 b,0,2018,968.8,2.2,-2.2,0,1.864,0.091,-0.091,0,0.226,0.064,-0.064,0,740.5439,247.9074,-247.9074,0,Msini,13.3,,,0,1.73,,,0,11h21m49.34s,170.455597,+18d11m24.0s,18.190001,32.48,0.06,-0.06,0,5271,,,0,,,,0,-0.22,0.03,-0.03,0,0.92,0.13,-0.13,0,0.93,0.04,-0.04,0,7.39,3.05,-3.05,0
HD 99109,HD 99109 b,0,2005,439.29999,5.6,-5.6,0,1.11,0.02,-0.02,0,0.09,0.12,-0.12,0,139.8452,25.4264,-25.4264,0,Msini,14.3,,,0,0.263,,,0,11h24m17.36s,171.072327,-01d31m44.7s,-1.529076,54.88,0.17,-0.17,0,5282,32,-32,0,4.34,0.05,-0.05,0,-0.172,0.002,-0.002,0,0.76,0.1,-0.1,0,0.98,0.02,-0.02,0,1,3,-1,1
HD 99492,HD 99492 b,0,2004,17.0431,0.0047,-0.0047,0,0.12,0,0,0,0.25,0.09,-0.09,0,22.2481,15.8915,-15.8915,0,Msini,5.02,,,0,0.966,,,0,11h26m46.28s,171.692825,+03d00m22.8s,3.006328,55.7,1.46,-1.46,0,4815,185,-185,0,4.28,0.46,-0.46,0,-0.447,0.002,-0.002,0,0.48,0.51,-0.51,0,0.83,0.07,-0.07,0,4.8,4.1,-4.1,0
HD 99706,HD 99706 b,0,2011,841,32,-32,0,1.98,0.14,-0.14,0,0.25,0.16,-0.16,0,390.9309,60.3877,-60.3877,0,Msini,13.7,,,0,0.835,,,0,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,1.12,-1.12,0,4862,,,0,3.09,,,0,1.302,0.004,-0.005,0,1.46,,,0,5.52,,,0,2.1,0.4,-0.4,0
HD 99706,HD 99706 c,0,2018,1278,151,-198,0,,,,0,0.411,0.231,-0.178,0,1808.4527,454.4969,-305.1168,0,Msini,12.8,,,0,4.74,,,0,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,1.12,-1.12,0,4862,,,0,3.09,,,0,1.302,0.004,-0.005,0,1.46,,,0,5.52,,,0,2.1,0.4,-0.4,0
HIP 105854,HIP 105854 b,0,2014,184.2,0.5,-0.5,0,0.81,0.03,-0.03,0,0.02,0.03,-0.03,0,2606.1,63.6,-63.6,0,Msini,12.6,,,0,7.16,,,0,21h26m22.87s,321.595306,-37d49m45.9s,-37.82943,78.8,0.74,-0.74,0,4780,100,-100,0,2.94,0.2,-0.2,0,1.67,0.046,-0.046,0,2.1,0.1,-0.1,0,10.31,0.55,-0.58,0,,,,
HIP 107773,HIP 107773 b,0,2015,144.3,0.5,-0.5,0,0.72,0.03,-0.03,0,0.09,0.06,-0.06,0,629.3034,66.7443,-66.7443,0,Msini,13.4,,,0,1.44,,,0,21h50m00.12s,327.500519,-64d42m45.1s,-64.71254,103.63,4.48,-4.12,0,4945,100,-100,0,2.6,0.2,-0.2,0,1.87,0.05,-0.06,0,2.42,0.27,-0.27,0,11.6,1.4,-1.4,0,,,,
HIP 109384,HIP 109384 b,0,2016,499.48,0.32,-0.32,0,1.134,0.029,-0.029,0,0.549,0.003,-0.003,0,495.8148,25.4264,-25.4264,0,Msini,13.5,,,0,1.11,,,0,22h09m37.40s,332.405823,+71d18m51.6s,71.314331,56.2,2.7,-2.7,0,5180,45,-45,0,4.43,0.1,-0.1,0,-0.319,0.001,-0.001,0,0.78,0.06,-0.06,0,0.83,0.02,-0.01,0,,,,
HIP 109600,HIP 109600 b,0,2016,232.08,0.15,-0.15,0,0.706,0.016,-0.016,0,0.163,0.006,-0.006,0,851.7844,38.1396,-38.1396,0,Msini,13.2,,,0,2.04,,,0,22h12m06.25s,333.026062,+29d03m56.9s,29.065811,58.6,3.2,-3.2,0,5530,35,-35,0,4.45,0.03,-0.03,0,-0.079,0.002,-0.002,0,0.87,0.06,-0.06,0,0.97,0.03,-0.03,0,,,,
HIP 116454,HIP 116454 b,0,2014,9.1205,0.0005,-0.0005,0,0.0906,0.0049,-0.0049,,0.2,0.07,-0.07,0,12.7132,3.1783,-3.1783,0,Mass,2.466,0.112,-0.112,0,4.17,1.08,-1.08,0,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,55.2,5.4,-5.4,0,5089,50,-50,0,4.59,0.03,-0.03,0,-0.471,0.002,-0.002,0,0.81,0.11,-0.11,0,0.72,0.02,-0.02,0,2,,,0
HIP 12961,HIP 12961 b,0,2010,57.435,0.042,-0.042,0,0.25,0.01,-0.01,0,0.17,0.03,-0.03,0,114.4188,22.2481,-22.2481,0,Msini,13.2,,,0,0.273,,,0,02h46m42.89s,41.678692,-23d05m11.8s,-23.086611,23.39,0.02,-0.02,0,3901,175,-175,0,4.65,0.09,-0.09,0,-1.019,0.001,-0.001,0,0.69,0.19,-0.19,0,0.65,0.06,-0.06,0,,,,0
HIP 14810,HIP 14810 b,0,2005,6.673892,0.000008,-0.000008,0,0.0696,0.0044,-0.0044,0,0.14399,0.00087,-0.00087,0,1239.537,155.7367,-155.7367,0,Msini,13,,,0,3.1,,,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,5544,,,0,4.32,0.01,-0.01,0,-0.01,0.06,-0.06,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,5.84,2.42,-2.42,0
HIP 14810,HIP 14810 c,0,2006,147.747,0.029,-0.029,0,0.549,0.034,-0.034,0,0.1566,0.0099,-0.0099,0,416.3573,57.2094,-57.2094,0,Msini,13.6,,,0,0.91,,,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,5544,,,0,4.32,0.01,-0.01,0,-0.01,0.06,-0.06,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,5.84,2.42,-2.42,0
HIP 14810,HIP 14810 d,0,2009,981.8,6.9,-6.9,0,1.94,0.13,-0.13,0,0.185,0.035,-0.035,0,187.5197,31.783,-31.783,0,Msini,14.1,,,0,0.368,,,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,5544,,,0,4.32,0.01,-0.01,0,-0.01,0.06,-0.06,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,5.84,2.42,-2.42,0
HIP 41378,HIP 41378 b,0,2016,15.5712,0.0012,-0.0012,0,,,,,,,,,8.75,,,0,M-R relationship,2.9,0.44,-0.44,0,1.97,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,6199,50,-50,0,4.18,0.1,-0.1,0,0.396,0.004,-0.004,0,1.15,0.06,-0.06,0,1.4,0.19,-0.19,0,,,,
HIP 41378,HIP 41378 c,0,2016,31.6978,0.004,-0.004,0,,,,,,,,,7.08,,,0,M-R relationship,2.56,0.4,-0.4,0,2.32,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,6199,50,-50,0,4.18,0.1,-0.1,0,0.396,0.004,-0.004,0,1.15,0.06,-0.06,0,1.4,0.19,-0.19,0,,,,
HIP 41378,HIP 41378 d,0,2016,156,163,-78,0,,,,,,,,,14.9,,,0,M-R relationship,3.96,0.59,-0.59,0,1.32,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,6199,50,-50,0,4.18,0.1,-0.1,0,0.396,0.004,-0.004,0,1.15,0.06,-0.06,0,1.4,0.19,-0.19,0,,,,
HIP 41378,HIP 41378 e,0,2016,131,61,-36,0,,,,,,,,,26,,,0,M-R relationship,5.51,0.77,-0.77,0,0.854,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,6199,50,-50,0,4.18,0.1,-0.1,0,0.396,0.004,-0.004,0,1.15,0.06,-0.06,0,1.4,0.19,-0.19,0,,,,
HIP 41378,HIP 41378 f,0,2016,324,121,-126,0,,,,,,,,,74,,,0,M-R relationship,10.2,1.4,-1.4,0,0.383,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,6199,50,-50,0,4.18,0.1,-0.1,0,0.396,0.004,-0.004,0,1.15,0.06,-0.06,0,1.4,0.19,-0.19,0,,,,
HIP 5158,HIP 5158 b,0,2009,345.72,5.4,-5.4,0,0.89,0.02,-0.02,0,0.52,0.08,-0.08,0,305.1168,177.9848,-177.9848,0,Msini,13.8,,,0,0.638,,,0,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,0.1,-0.1,0,4813,171,-171,0,4.32,0.35,-0.35,0,-0.548,0.001,-0.001,0,0.43,0.35,-0.35,0,0.75,0.06,-0.06,0,6,,,1
HIP 5158,HIP 5158 c,0,2011,9017.76,3180.74,-3180.74,0,7.7,1.88,-1.88,0,0.14,0.1,-0.1,0,4780.1632,3353.1065,-3353.1065,0,Msini,12.2,,,0,14.5,,,0,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,0.1,-0.1,0,4813,171,-171,0,4.32,0.35,-0.35,0,-0.548,0.001,-0.001,0,0.43,0.35,-0.35,0,0.75,0.06,-0.06,0,6,,,1
HIP 57274,HIP 57274 b,0,2011,8.1352,0.004,-0.004,0,0.07,0,0,0,0.19,0.1,-0.1,0,6.3566,3.1783,-3.1783,0,Msini,2.4,,,0,2.53,,,0,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0,4510,136,-136,0,4.11,0.46,-0.46,0,-0.645,0.001,-0.001,0,0.29,0.3,-0.3,0,0.78,0.05,-0.05,0,7.87,5,-5,0
HIP 57274,HIP 57274 c,0,2011,32.03,0.02,-0.02,0,0.178,,,0,0.05,0.02,-0.02,0,130,3,-3,0,Msini,14.2,,,0,0.249,,,0,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0,4510,136,-136,0,4.11,0.46,-0.46,0,-0.645,0.001,-0.001,0,0.29,0.3,-0.3,0,0.78,0.05,-0.05,0,7.87,5,-5,0
HIP 57274,HIP 57274 d,0,2011,431.7,8.5,-8.5,0,1.01,,,0,0.27,0.05,-0.05,0,167.4,8,-8,0,Msini,14.2,,,0,0.321,,,0,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0,4510,136,-136,0,4.11,0.46,-0.46,0,-0.645,0.001,-0.001,0,0.29,0.3,-0.3,0,0.78,0.05,-0.05,0,7.87,5,-5,0
HIP 63242,HIP 63242 b,0,2013,124.6,,,0,0.565,,,0,0.23,,,0,2917.56,,,0,Msini,12.5,,,0,8.21,,,0,12h57m31.96s,194.383163,-65d38m47.3s,-65.646461,157.16,0.7,-0.7,0,4830,100,-100,0,2.53,0.2,-0.2,0,1.63,0.001,-0.001,0,1.54,0.05,-0.05,0,10.28,0.18,-0.11,0,,,,
HIP 65407,HIP 65407 b,0,2016,28.125,0.019,-0.019,0,0.177,0.005,-0.005,0,0.14,0.07,-0.07,0,136.03124,10.17056,-10.17056,0,Msini,14.3,,,0,0.256,,,0,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.5,4.6,-4.6,0,5460,50,-50,0,4.47,0.08,-0.08,0,-0.186,0.001,-0.001,0,0.93,0.07,-0.07,0,0.95,0.01,-0.03,0,,,,
HIP 65407,HIP 65407 c,0,2016,67.3,0.08,-0.08,0,0.316,0.008,-0.008,0,0.12,0.04,-0.04,0,249.17872,17.16282,-17.16282,0,Msini,13.9,,,0,0.51,,,0,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.5,4.6,-4.6,0,5460,50,-50,0,4.47,0.08,-0.08,0,-0.186,0.001,-0.001,0,0.93,0.07,-0.07,0,0.95,0.01,-0.03,0,,,,
HIP 65426,HIP 65426 b,0,2017,,,,0,92,,,0,,,,0,2860.47,953.49,-953.49,0,Mass,16.814,1.121,-1.121,0,3.31,,,0,13h24m36.10s,201.150406,-51d30m16.1s,-51.504459,111.4,3.8,-3.8,0,8840,200,-200,0,,,,0,1.24,,,0,1.96,0.04,-0.04,0,1.77,0.05,-0.05,0,0.014,0.004,-0.004,0
HIP 65891,HIP 65891 b,0,2015,1084.5,23.2,-23.2,0,2.81,0.09,-0.09,0,0.13,0.05,-0.05,0,1906.98,155.7367,-155.7367,0,Msini,12.8,,,0,5,,,0,13h30m25.27s,202.605301,-58d39m51.7s,-58.664356,136.05,12.09,-10.27,0,5000,100,-100,0,2.9,0.2,-0.2,0,1.65,0.09,-0.1,0,2.5,0.21,-0.21,0,8.93,1.02,-1.02,0,,,,
HIP 67537,HIP 67537 b,0,2017,2556.5,99.2,-94.9,0,4.91,0.14,-0.13,0,0.59,0.05,-0.02,0,3527.913,127.132,-349.613,0,Msini,12.4,,,0,10.2,,,0,13h50m19.40s,207.580826,-39d54m03.1s,-39.900856,112.6,5.8,-5.8,0,4985,100,-100,0,2.85,0.2,-0.2,0,1.617,0.069,-0.083,0,2.41,0.16,-0.16,0,8.69,0.88,-0.88,0,,,,
HIP 67851,HIP 67851 b,0,2015,88.9,0.1,-0.1,0,0.46,0.02,-0.02,0,0.05,0.04,-0.04,0,438.6054,47.6745,-47.6745,0,Msini,13.6,,,0,0.958,,,0,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,1.74,-1.65,0,4890,100,-100,0,3.15,0.2,-0.2,0,1.244,0.061,-0.071,0,1.63,0.22,-0.22,0,5.92,0.44,-0.44,0,,,,
HIP 67851,HIP 67851 c,0,2015,2131.8,88.3,-88.3,0,3.82,0.23,-0.23,0,0.17,0.06,-0.06,0,2002.2,,,0,Mass,12.7,,,0,5.37,,,0,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,1.74,-1.65,0,4890,100,-100,0,3.15,0.2,-0.2,0,1.244,0.061,-0.071,0,1.63,0.22,-0.22,0,5.92,0.44,-0.44,0,,,,
HIP 70849,HIP 70849 b,0,2009,17337.5,15512.5,-15512.5,0,20.25,15.75,-15.75,0,0.715,0.245,-0.245,0,2860,1907,-1907,0,Msini,12.5,,,0,8.05,,,0,14h29m18.56s,217.327347,-46d27m49.7s,-46.463818,24.07,0.02,-0.02,0,4105,130,-130,0,,,,0,-1.048,0.001,-0.001,0,0.63,0.03,-0.03,0,0.59,0.03,-0.04,0,3,2,-2,0
HIP 74890,HIP 74890 b,0,2016,822.3,16.8,-16.8,0,2.1,0.09,-0.09,0,0.07,0.07,-0.07,0,762.792,95.349,-95.349,0,Msini,13.3,,,0,1.78,,,0,15h18m17.33s,229.572205,-41d25m14.1s,-41.42057,91.49,5.27,-5.27,0,4850,100,-100,0,3.1,0.2,-0.2,0,1.215,0.059,-0.069,0,1.74,0.21,-0.21,0,5.77,0.53,-0.53,0,,,,
HIP 75458,HIP 75458 b,0,2002,511.098,0.089,-0.089,0,1.275,0.074,-0.074,0,0.7124,0.0039,-0.0039,0,2803.1,228.8,-228.8,0,Msini,12.5,,,0,7.89,,,0,15h24m55.77s,231.232391,+58d57m57.8s,58.966064,31.67,0.3,-0.3,0,4530,100,-100,0,2.6,0.25,-0.25,0,1.82,0.005,-0.005,0,1.05,,,0,12.57,4.88,-4.49,0,,,,
HIP 78530,HIP 78530 b,0,2010,,,,,740,60,-60,0,,,,,7300,300,-300,0,Mass,12,,,0,23.2,,,0,16h01m55.46s,240.481064,-21d58m49.4s,-21.980389,156.7,13,-13,0,10500,,,0,,,,,,,,,2.5,,,0,,,,,0.005,,,0
HIP 79431,HIP 79431 b,0,2009,111.7,0.7,-0.7,0,0.36,,,0,0.29,0.02,-0.02,0,667.415,,,0,Msini,13.4,,,0,1.52,,,0,16h12m41.77s,243.174057,-18d52m31.8s,-18.875504,14.54,0.03,-0.03,0,3368,,,0,,,,,-1.523,0.753,-0.564,0,0.42,,,0,0.54,,,0,,,,
HIP 8541,HIP 8541 b,0,2016,1560.2,53.9,-53.9,0,2.8,0.25,-0.25,0,0.16,0.06,-0.06,0,1748.065,317.83,-317.83,0,Msini,12.8,,,0,4.58,,,0,01h50m06.33s,27.526375,-54d27m53.9s,-54.464962,168.63,17.35,-17.35,0,4670,100,-100,0,2.7,0.2,-0.2,0,1.405,0.089,-0.113,0,1.17,0.28,-0.28,0,7.83,1.02,-1.02,0,,,,
HIP 91258,HIP 91258 b,0,2013,5.0505,0.0015,-0.0015,0,0.06,0,0,0,0.02,0.01,-0.01,0,346.4347,66.7443,-66.7443,0,Msini,13.7,,,0,0.74,,,0,18h36m53.15s,279.221466,+61d42m09.0s,61.702503,45.95,0.07,-0.07,0,5519,70,-70,0,4.53,0.12,-0.12,0,-0.175,0.001,-0.001,0,0.97,0.28,-0.28,0,0.89,0.03,-0.03,0,2.4,2.4,-2.4,0
HIP 97233,HIP 97233 b,0,2014,1058.8,6.7,-6.7,0,2.55,0.05,-0.05,0,0.61,0.03,-0.03,0,6356.3,127.1,-127.1,0,Msini,12.1,,,0,19.7,,,0,19h45m41.27s,296.421967,-00d41m47.9s,-0.696645,106.5,8.6,-7.4,0,5020,100,-100,0,3.26,0.2,-0.2,0,1.204,0.132,-0.191,0,1.93,0.11,-0.11,0,5.34,0.55,-0.55,0,,,,
HN Peg,HN Peg b,0,2006,,,,,773,13,-13,0,,,,,6991.57,2996.39,-2996.39,0,Mass,11.777,1.527,-0.654,0,23.5,,,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.13,0.02,-0.02,0,5974,,,0,4.48,,,0,0.072,0.022,-0.023,0,1.1,,,0,1.04,,,0,3.1,,,0
HR 2562,HR 2562 b,0,2016,,,,,20.3,0.3,-0.3,0,,,,,9534.9,4767.45,-4767.45,0,Mass,12.442,1.233,-1.233,0,27.2,,,0,06h50m01.01s,102.504227,-60d14m56.9s,-60.249146,33.63,0.48,-0.48,0,6471,83,-65.58,0,,,,,0.531,0.001,-0.001,0,1.3,,,0,1.47,0.03,-0.04,0,0.6,0.3,-0.3,0
HR 810,HR 810 b,0,1999,302.79999,2.3,-2.3,0,0.92,0.02,-0.02,0,0.14,0.13,-0.13,0,721.4741,79.4575,-79.4575,0,Msini,13.3,,,0,1.69,,,0,02h42m33.47s,40.639442,-50d48m01.1s,-50.800293,17.33,0.02,-0.02,0,6167,24,-24,0,4.46,0.04,-0.04,0,0.253,0.001,-0.001,0,1.34,0.13,-0.13,0,1.13,0.02,-0.02,0,2.72,,,0
HR 8799,HR 8799 b,0,2008,170000,,,0,68,,,0,,,,,2000,1000,-600,0,Mass,13,1,-1,0,5,,,0,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,7376.66,218.34,-217.66,0,,,,,0.741,0.002,-0.002,0,1.51,0.04,-0.02,0,1.44,0.09,-0.08,0,,,,
HR 8799,HR 8799 c,0,2008,69000,,,0,38,,,0,0.5,,,1,3000,1000,-1000,0,Mass,13,1,0,0,7.5,,,0,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,7376.66,218.34,-217.66,0,,,,,0.741,0.002,-0.002,0,1.51,0.04,-0.02,0,1.44,0.09,-0.08,0,,,,
HR 8799,HR 8799 d,0,2008,37000,,,0,24,,,0,0.6,,,1,3000,1000,-1000,0,Mass,13,1,0,0,7.5,,,0,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,7376.66,218.34,-217.66,0,,,,,0.741,0.002,-0.002,0,1.51,0.04,-0.02,0,1.44,0.09,-0.08,0,,,,
HR 8799,HR 8799 e,0,2010,18000,,,0,14.5,0.5,-0.5,0,,,,,72.7,,,0,M-R relationship,10.088,,,0,0.389,,,0,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,7376.66,218.34,-217.66,0,,,,,0.741,0.002,-0.002,0,1.51,0.04,-0.02,0,1.44,0.09,-0.08,0,,,,
IC 4651 9122,IC 4651 9122 b,0,2018,734,8.1,-8.1,0,2.038,0.039,-0.039,0,0.18,0.09,-0.09,0,2002.329,158.915,-158.915,0,Msini,12.7,,,0,5.37,,,0,17h24m50.07s,261.208618,-49d56m56.1s,-49.948917,879.38,33.18,-33.18,0,4619.23,161.24,-101.47,0,2.52,,,0,1.636,0.023,-0.024,0,2.1,,,0,10.27,0.47,-0.68,0,1.14,,,0
K2-10,K2-10 b,0,2015,19.3044,0.0012,-0.0012,0,0.137,0.0015,-0.0015,0,0.31,0.16,-0.18,0,27,17,-16,0,Mass,3.84,0.35,-0.34,0,2.6,2.1,-1.6,0,11h28m29.27s,172.121964,+01d41m26.3s,1.690636,274.48,3.1,-3.1,0,5620,70,-70,0,4.5,0.08,-0.08,0,-0.145,0.007,-0.007,0,0.92,0.05,-0.05,0,0.98,0.08,-0.08,0,,,,
K2-100,K2-100 b,0,2016,1.673833,0.000049,-0.00005,0,0.0296,0.0002,-0.0002,0,0.24,0.19,-0.12,0,12.6,,,0,M-R relationship,3.59,0.14,-0.14,0,1.5,,,0,08h38m24.30s,129.601257,+20d06m21.8s,20.106064,190.04,2.44,-2.44,0,6168,62,-62,0,4.35,0.01,-0.01,0,0.263,0.007,-0.007,0,1.23,0.02,-0.02,0,1.22,0.02,-0.02,0,0.79,0.03,-0.03,0
K2-101,K2-101 b,0,2016,14.677286,0.000828,-0.000804,0,,,,,0.1,0.18,-0.08,0,4.66,,,0,M-R relationship,2,0.1,-0.1,0,3.2,,,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,189.33,2.11,-2.11,0,4819,45,-45,0,4.66,0.1,-0.1,0,-0.595,0.016,-0.016,0,0.8,0.06,-0.06,0,0.73,0.03,-0.03,0,0.79,0.03,-0.03,0
K2-102,K2-102 b,0,2016,9.915615,0.001209,-0.001195,0,,,,,0.1,0.16,-0.07,0,2.24,,,0,M-R relationship,1.3,0.1,-0.1,0,5.6,,,0,08h40m13.45s,130.056046,+19d46m43.7s,19.778811,189.17,2.05,-2.05,0,4695,50,-50,0,,,,,-0.657,0.016,-0.016,0,0.77,0.06,-0.06,0,0.71,0.03,-0.03,0,0.79,0.03,-0.03,0
K2-104,K2-104 b,0,2016,1.974238,0.00011,-0.00011,0,0.023,0.001,-0.001,0,0.09,0.167783,-0.07267,0,4.5,,,0,M-R relationship,1.96,0.15,-0.15,0,3.28,,,0,08h38m32.82s,129.636749,+19d46m25.8s,19.773829,190.21,3.92,-3.92,0,3546.46,98.71,-94.56,0,,,,0,-1.434,0.014,-0.014,0,0.43,0.06,-0.07,0,0.49,0.03,-0.03,0,0.79,0.03,-0.03,0
K2-105,K2-105 b,0,2017,8.267704,0.00035,-0.000318,0,0.0796,0.0007,-0.0007,0,,,,0,30,19,-19,0,Mass,3.37,0.12,-0.12,0,4.31,,,0,08h21m40.87s,125.42028,+13d29m51.1s,13.49753,199.28,1.5,-1.5,0,5464,65,-65,0,4.51,0.02,-0.02,0,-0.195,0.005,-0.005,0,0.99,0.03,-0.03,0,0.91,0.01,-0.01,0,0.6,,,-1
